country,year,immigration_rate
dominican_republic,2007,-153773
dominican_republic,2012,-153010
dominican_republic,2017,-151333
algeria,1962,-284266
algeria,1967,-121335
algeria,1972,-247822
algeria,1977,-224833
algeria,1982,-81020
algeria,1987,-93302
algeria,1992,-128679
algeria,1997,-164413
algeria,2002,-205228
algeria,2007,-357340
algeria,2012,-143268
algeria,2017,-50002
ecuador,1962,-9002
ecuador,1967,-5500
ecuador,1972,-5499
ecuador,1977,-7198
ecuador,1982,-14001
ecuador,1987,-16998
ecuador,1992,-19000
ecuador,1997,-69999
ecuador,2002,-120002
ecuador,2007,-44999
ecuador,2012,-38001
ecuador,2017,-30776
"egypt,_arab_rep.",1962,-50100
"egypt,_arab_rep.",1967,-239700
"egypt,_arab_rep.",1972,-546796
"egypt,_arab_rep.",1977,-563569
"egypt,_arab_rep.",1982,-389781
"egypt,_arab_rep.",1987,-212184
"egypt,_arab_rep.",1992,-460404
"egypt,_arab_rep.",1997,-210899
"egypt,_arab_rep.",2002,-74464
"egypt,_arab_rep.",2007,-283573
"egypt,_arab_rep.",2012,-275026
"egypt,_arab_rep.",2017,-275000
eritrea,1962,6997
eritrea,1967,4999
eritrea,1972,10000
eritrea,1977,10000
eritrea,1982,10000
eritrea,1987,-40000
eritrea,1992,-400002
eritrea,1997,-70000
eritrea,2002,110001
eritrea,2007,-159999
eritrea,2012,-159999
eritrea,2017,-49999
spain,1962,-193807
spain,1967,-145936
spain,1972,96990
spain,1977,76903
spain,1982,-43292
spain,1987,-67680
spain,1992,319270
spain,1997,905020
spain,2002,2838240
spain,2007,2259000
spain,2012,-570000
spain,2017,200000
estonia,1962,43228
estonia,1967,41204
estonia,1972,30581
estonia,1977,30510
estonia,1982,25900
estonia,1987,15497
estonia,1992,-111876
estonia,1997,-1197
estonia,2002,-18406
estonia,2007,-15151
estonia,2012,-10516
estonia,2017,-4999
ethiopia,1962,-19999
ethiopia,1967,-42182
ethiopia,1972,-59597
ethiopia,1977,-1999798
ethiopia,1982,250001
ethiopia,1987,780074
ethiopia,1992,1475274
ethiopia,1997,-155577
ethiopia,2002,-83182
ethiopia,2007,-50132
ethiopia,2012,-60001
ethiopia,2017,-60001
finland,1962,-64984
finland,1967,-97937
finland,1972,28880
finland,1977,-29377
finland,1982,26181
finland,1987,18268
finland,1992,47223
finland,1997,22154
finland,2002,31935
finland,2007,57558
finland,2012,81416
finland,2017,70000
fiji,1962,2451
fiji,1967,-9567
fiji,1972,-12506
fiji,1977,-20709
fiji,1982,-11628
fiji,1987,-66875
fiji,1992,-35796
fiji,1997,-42260
fiji,2002,-61797
fiji,2007,-28754
fiji,2012,-28720
fiji,2017,-20000
france,1962,1466682
france,1967,416217
france,1972,805181
france,1977,146855
france,1982,268131
france,1987,481869
france,1992,303416
france,1997,382333
france,2002,493125
france,2007,536344
france,2012,361722
france,2017,400002
"micronesia,_fed._sts.",1962,0
"micronesia,_fed._sts.",1967,0
"micronesia,_fed._sts.",1972,-7997
"micronesia,_fed._sts.",1977,-548
"micronesia,_fed._sts.",1982,0
"micronesia,_fed._sts.",1987,-2461
"micronesia,_fed._sts.",1992,-2234
"micronesia,_fed._sts.",1997,-13618
"micronesia,_fed._sts.",2002,-12850
"micronesia,_fed._sts.",2007,-12132
"micronesia,_fed._sts.",2012,-8192
"micronesia,_fed._sts.",2017,-6000
united_kingdom,1962,142563
united_kingdom,1967,-84853
united_kingdom,1972,106415
united_kingdom,1977,39119
united_kingdom,1982,-97495
united_kingdom,1987,98758
united_kingdom,1992,205443
united_kingdom,1997,498998
united_kingdom,2002,968350
united_kingdom,2007,2030075
united_kingdom,2012,990000
united_kingdom,2017,900000
georgia,1962,96284
georgia,1967,85196
georgia,1972,-73425
georgia,1977,-95444
georgia,1982,-47827
georgia,1987,-43659
georgia,1992,-544069
georgia,1997,-366036
georgia,2002,-277521
georgia,2007,-299482
